cfg,phi,interesting,reason_skipped,K,n_executions,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
"(1, 1, 3, 3, 1, 0, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = id  │  steelpin: ρ = type  │  steelsheet: ρ = type,False,no merging (K = n_executions),2907,2907,26.995184038527693,1,1.0,1,0.0,0.0
"(1, 1, 3, 3, 1, 1, 1, 2)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,195,2907,26.995184038527693,1,14.907692307692308,60,0.932920536635707,0.0
"(1, 1, 3, 3, 1, 1, 1, 3)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,352,2907,26.995184038527693,1,8.258522727272727,34,0.8789129686962505,0.0
"(1, 1, 3, 3, 1, 2, 1, 1)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg,True,,1512,2907,26.995184038527693,1,1.9226190476190477,8,0.47987616099071206,0.0
"(0, 1, 1, 2, 1, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2207,2907,26.995184038527693,1,1.31717263253285,7,0.24079807361541106,0.0
"(0, 1, 1, 3, 0, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2902,2907,26.995184038527693,1,1.001722949689869,2,0.0017199862401100496,0.0
"(0, 1, 1, 3, 1, 2, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,1512,2907,26.995184038527693,1,1.9226190476190477,8,0.47987616099071206,0.0
"(0, 1, 1, 3, 1, 3, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,1512,2907,26.995184038527693,1,1.9226190476190477,8,0.47987616099071206,0.0
"(0, 1, 1, 3, 1, 3, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,2464,2907,26.995184038527693,1,1.1797889610389611,4,0.15239078087375302,0.0
"(0, 1, 2, 1, 1, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = p_masskg  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2843,2907,26.995184038527693,1,1.0225114315863524,2,0.022015823873409057,0.0
"(0, 1, 2, 2, 0, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2033,2907,26.995184038527693,1,1.4299065420560748,6,0.30065359477124187,0.0
"(0, 1, 2, 2, 1, 2, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,139,2907,26.995184038527693,1,20.913669064748202,254,0.9521843825249398,0.0
"(0, 1, 2, 2, 1, 3, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,191,2907,26.995184038527693,1,15.219895287958115,237,0.934296525627795,0.0
"(0, 1, 2, 2, 1, 3, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,418,2907,26.995184038527693,1,6.954545454545454,71,0.8562091503267975,0.0
"(0, 1, 2, 3, 0, 2, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,1805,2907,26.995184038527693,1,1.6105263157894736,6,0.3790849673202614,0.0
"(0, 1, 2, 3, 0, 3, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,1944,2907,26.995184038527693,1,1.4953703703703705,6,0.3312693498452013,0.0
