dataset,cfg,phi,interesting,reason_skipped,K,n_executions,K_ratio,cfg_height,cfg_height_norm,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom,behavior_time_s,mining_time_s,miner,n_graphs,avg_mining_graph_size,total_mining_graph_size,min_support_effective,n_patterns_raw,n_patterns_in_window,pattern_support_min,pattern_support_mean,pattern_support_median,pattern_support_max,pattern_support_ratio_mean,pattern_support_ratio_median,pattern_support_ratio_max,high_support_threshold_ratio,high_support_threshold_abs,n_high_support_patterns,high_support_pattern_ratio
ocel2-p2p_filtered,"(2, 2, 9, 2, 1, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,606,927,0.6537216828478964,15,0.7894736842105263,42.93311758360302,1,1.5297029702970297,31,0.34627831715210355,0.04200365877142298,0.09387833300000636,28.351872667000862,gspan,927,37.81877022653722,35058,48,207,207,48,85.21256038647343,67,569,0.09192293461323994,0.07227615965480043,0.6138079827400216,0.25,231,7,0.033816425120772944
ocel2-p2p_filtered,"(2, 2, 9, 2, 1, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,606,927,0.6537216828478964,15,0.7894736842105263,42.11003236245955,1,1.5297029702970297,31,0.34627831715210355,0.06036972848064692,0.09439512500000546,28.592640999999276,gspan,927,37.81877022653722,35058,48,217,217,48,84.08755760368663,66,569,0.09070933937830274,0.07119741100323625,0.6138079827400216,0.25,231,7,0.03225806451612903
ocel2-p2p_filtered,"(2, 2, 9, 2, 2, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,794,927,0.8565264293419633,15,0.7894736842105263,42.93311758360302,1,1.1675062972292192,7,0.14347357065803668,0.04200365877142298,0.09438516699999866,5.193015832999663,gspan,927,37.81877022653722,35058,48,35,35,50,165.62857142857143,141,569,0.17867159808907382,0.15210355987055016,0.6138079827400216,0.25,231,8,0.22857142857142856
ocel2-p2p_filtered,"(2, 2, 9, 2, 3, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,606,927,0.6537216828478964,15,0.7894736842105263,42.93311758360302,1,1.5297029702970297,31,0.34627831715210355,0.04200365877142298,0.09374229200000173,102.56921645900002,gspan,927,37.81877022653722,35058,48,387,387,48,120.8423772609819,91,579,0.13035855152209483,0.09816612729234088,0.6245954692556634,0.25,231,43,0.1111111111111111
ocel2-p2p_filtered,"(2, 2, 9, 2, 3, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,794,927,0.8565264293419633,15,0.7894736842105263,42.93311758360302,1,1.1675062972292192,7,0.14347357065803668,0.04200365877142298,0.09314041700000075,100.41163724999933,gspan,927,37.81877022653722,35058,48,368,368,48,122.80978260869566,91.0,579,0.1324808873880212,0.09816612729234088,0.6245954692556634,0.25,231,43,0.11684782608695653
ocel2-p2p_filtered,"(2, 2, 9, 3, 1, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,686,927,0.7400215749730313,14,0.7368421052631579,43.19093851132686,1,1.3513119533527698,14,0.25997842502696866,0.03625072212593872,0.09532458300000712,22.598530459003086,gspan,927,37.81877022653722,35058,48,165,165,48,91.2060606060606,70,569,0.09838841489326926,0.07551240560949299,0.6138079827400216,0.25,231,7,0.04242424242424243
ocel2-p2p_filtered,"(2, 2, 9, 3, 1, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,686,927,0.7400215749730313,14,0.7368421052631579,42.36785329018339,1,1.3513119533527698,14,0.25997842502696866,0.05461679183516266,0.09451225000000818,21.933637167003326,gspan,927,37.81877022653722,35058,48,175,175,48,89.46857142857142,69,569,0.09651410078594544,0.0744336569579288,0.6138079827400216,0.25,231,7,0.04
ocel2-p2p_filtered,"(2, 2, 9, 3, 2, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,868,927,0.9363538295577131,14,0.7368421052631579,43.19093851132686,1,1.0679723502304148,4,0.06364617044228693,0.03625072212593872,0.09448641699999882,5.03197375000309,gspan,927,37.81877022653722,35058,48,35,35,50,165.62857142857143,141,569,0.17867159808907382,0.15210355987055016,0.6138079827400216,0.25,231,8,0.22857142857142856
ocel2-p2p_filtered,"(2, 2, 9, 3, 3, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,686,927,0.7400215749730313,14,0.7368421052631579,43.19093851132686,1,1.3513119533527698,14,0.25997842502696866,0.03625072212593872,0.09391683299999443,81.46239454100214,gspan,927,37.81877022653722,35058,48,310,310,48,120.62258064516129,87.5,579,0.13012144621915997,0.09439050701186623,0.6245954692556634,0.25,231,35,0.11290322580645161
ocel2-p2p_filtered,"(2, 2, 9, 3, 3, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,868,927,0.9363538295577131,14,0.7368421052631579,43.19093851132686,1,1.0679723502304148,4,0.06364617044228693,0.03625072212593872,0.09344770900000299,79.51535345899902,gspan,927,37.81877022653722,35058,48,283,283,48,124.2826855123675,87,579,0.13406977940924217,0.09385113268608414,0.6245954692556634,0.25,231,35,0.12367491166077739
ocel2-p2p_filtered,"(2, 2, 9, 4, 1, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,602,927,0.6494066882416397,14,0.7368421052631579,42.36785329018339,1,1.5398671096345515,31,0.3505933117583603,0.05461679183516266,0.09437216700000306,29.46350295799857,gspan,927,37.81877022653722,35058,48,225,225,48,84.20444444444445,67,569,0.09083543090015582,0.07227615965480043,0.6138079827400216,0.25,231,7,0.03111111111111111
ocel2-p2p_filtered,"(2, 2, 9, 4, 2, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,791,927,0.8532901833872708,14,0.7368421052631579,43.19093851132686,1,1.1719342604298357,7,0.1467098166127292,0.03625072212593872,0.09418162500000449,5.576794000000518,gspan,927,37.81877022653722,35058,48,40,40,50,146.65,106.0,569,0.15819848975188783,0.11434735706580366,0.6138079827400216,0.25,231,7,0.175
ocel2-p2p_filtered,"(2, 2, 9, 4, 1, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,791,927,0.8532901833872708,14,0.7368421052631579,43.19093851132686,1,1.1719342604298357,7,0.1467098166127292,0.03625072212593872,0.09533558300000777,15.484443790999649,gspan,927,37.81877022653722,35058,48,118,118,48,91.71186440677967,62.5,569,0.09893405006125099,0.0674217907227616,0.6138079827400216,0.25,231,7,0.059322033898305086
ocel2-p2p_filtered,"(2, 2, 9, 4, 2, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,791,927,0.8532901833872708,14,0.7368421052631579,43.19093851132686,1,1.1719342604298357,7,0.1467098166127292,0.03625072212593872,0.09527395800000704,5.2048924999980954,gspan,927,37.81877022653722,35058,48,35,35,50,154.68571428571428,117,569,0.16686700570195714,0.1262135922330097,0.6138079827400216,0.25,231,7,0.2
ocel2-p2p_filtered,"(2, 2, 9, 4, 3, 1, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = VendorEBANLIFNR,True,,791,927,0.8532901833872708,14,0.7368421052631579,43.19093851132686,1,1.1719342604298357,7,0.1467098166127292,0.03625072212593872,0.09342333300000405,102.03627295800106,gspan,927,37.81877022653722,35058,48,377,377,48,121.0026525198939,88,579,0.13053144824152524,0.09492988133764833,0.6245954692556634,0.25,231,43,0.11405835543766578
ocel2-p2p_filtered,"(2, 3, 2, 2, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = MaterialEKPOMATNR  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,756,927,0.8155339805825242,17,0.8947368421052632,44.353829557713055,1,1.2261904761904763,36,0.18446601941747576,0.010302330059695608,0.09317275000000791,61.49639833300171,gspan,927,37.81877022653722,35058,48,265,264,48,124.28787878787878,88.0,579,0.13407538164819718,0.09492988133764833,0.6245954692556634,0.25,231,33,0.125
ocel2-p2p_filtered,"(2, 3, 2, 3, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = MaterialEKPOMATNR  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,786,927,0.8478964401294499,16,0.8421052631578947,44.353829557713055,1,1.1793893129770991,24,0.15210355987055013,0.010302330059695608,0.09346716599999638,53.123681958000816,gspan,927,37.81877022653722,35058,48,240,239,48,123.7949790794979,90,579,0.13354366675242493,0.0970873786407767,0.6245954692556634,0.25,231,28,0.11715481171548117
ocel2-p2p_filtered,"(2, 3, 2, 4, 1, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = MaterialEKPOMATNR  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,744,927,0.8025889967637541,16,0.8421052631578947,44.353829557713055,1,1.2459677419354838,22,0.19741100323624594,0.010302330059695608,0.09448049999998887,95.80320433300221,gspan,927,37.81877022653722,35058,48,252,252,48,82.69444444444444,71.0,499,0.0892065204362939,0.07659115426105717,0.5382955771305286,0.25,231,5,0.01984126984126984
ocel2-p2p_filtered,"(2, 3, 2, 4, 3, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = MaterialEKPOMATNR  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,744,927,0.8025889967637541,16,0.8421052631578947,44.353829557713055,1,1.2459677419354838,22,0.19741100323624594,0.010302330059695608,0.09378083400000037,73.16942970799937,gspan,927,37.81877022653722,35058,48,290,289,48,136.53979238754326,95,579,0.14729211692291613,0.10248112189859762,0.6245954692556634,0.25,231,44,0.1522491349480969
